Sample_name,Result,
t1.1_09:53,0.001,
t2.1_09:54,0.001,
t3.1_09:54,0.001,
t1.1_10:30,0.001,
t2.1_10:30,0.001,
t3.1_10:31,0.001,
t1.1_11:30,0.001,
t2.1_11:31,0.001,
t3.1_11:32,0.001,
t1.1_12:31,0.002,
t2.1_12:31,0.001,
t3.1_12:32,0.001,
t1.1_13:42,0.006,
t2.1_13:42,0.006,
t3.1_13:43,0.006,
t1.1_13:58,0.009,
t2.1_13:59,0.01,
t3.1_13:59,0.009,
t1.1_14:14,0.015,
t2.1_14:15,0.015,
t3.1_14:15,0.014,
t1.1_14:27,0.02,
t2.1_14:27,0.021,
t3.1_14:27,0.019,
t1.1_14:44,0.033,
t2.1_14:44,0.033,
t3.1_14:44,0.029,
t1.1_14:59,0.05,
t2.1_14:59,0.051,
t3.1_14:59,0.045,
t1.1_15:15,0.079,
t2.1_15:16,0.079,
t3.1_15:16,0.071,
t1.1_15:21,0.092,
t2.1_15:21,0.092,
t3.1_15:22,0.08,
t1.1_15:36,0.138,
t2.1_15:37,0.140,
t3.1_15:37,0.127,
t1.1_16:04,0.253,
t2.1_16:05,0.257,
t3.1_16:05,0.253,
t1.1_16:39,0.333,
t2.1_16:39,0.324,
t3.1_16:39,0.315,
